"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
11,DE,U1,DE 202021001996 U1,009-764-677-467-268,2021-09-29,2021,DE 202021001996 U,2021-06-09,DE 202021001996 U,2021-06-09,Fischfalle zum Fang von Aquarium-Fischen,"Fischfalle zum Fang von Aquarium-Fischen,dadurch gekennzeichnet,dass sieüber ein blasenförmiges durchsichtiges Gehäuse verfügt, welches aus einer vorderen Hälfte (1) und einer hinteren Hälfte (5) besteht, und die beiden Hälften (1) und (5) durch zwei Schnappverschlüsse (4) zusammengehalten werden; an der vorderen Gehäusehälfte (1) über eine kreisförmige Öffnung (2) verfügt, welche von einem ringförmigen eingeschlossenen Luftkörper (3) umgeben wird; an der hinteren Gehäusehälfte (5) über zwei vergossene Rundmagnete (6) verfügt;außerdem über einen abnehmbaren Griff (7) mit zwei darin vergossenen Rundmagneten (8) verfügt.",NYOS AQUATICS GMBH,,,https://lens.org/009-764-677-467-268,Limited Patent,no,0,0,1,1,0,A01K63/006;;A01K77/00,A01K61/00,,0,0,,,,ACTIVE
12,US,B2,US 10190903 B2,029-335-065-608-39X,2019-01-29,2019,US 201715616040 A,2017-06-07,US 201715616040 A,2017-06-07,Digital fishing net scale configured for integration into a hotspot system,"The present invention generally relates to digital fishing net scales to determine the weight of a catch in the fishing net and to automatically record the weight. The present invention also relates to a system and method of automatically determining and recording the weight of a catch and catch related data, and to a system and method of generating fishing hotspot information. In particular, the present invention relates to digital scales that are communicatively connected to a system comprising a data store for automatically storing the weight of each catch/fish, and optionally for automatically storing related data. Related data may include catch related data originating from the digital fishing net scale or hotspot related data originating from devices/data stores operably connected to the hotspot system; illustrative examples include location, time, date, lunar phase, air temperature, water temperature, water depth, water salinity, weather conditions, species of fish, fish activity, and/or comments of a user. Further the present invention provides a system for generating fishing hotspot information that includes a digital fishing net scale, and methods that generate fishing hotspot information by determining and correlating weight data, optional catch related data, and hotspot related data with their corresponding location data.",LEBEDEV ALEXANDER,LEBEDEV ALEXANDER,,https://lens.org/029-335-065-608-39X,Granted Patent,yes,3,1,2,2,0,G01G19/60;;A01K77/00;;G01S19/14;;G01G19/00;;G01G17/00;;G01C13/00;;A01K85/01;;G01S19/14;;A01K93/00;;A01K77/00;;G01G19/60,A01K85/01;;A01K93/00;;G01C13/00;;G01G17/00;;G01G19/00;;G01S19/14,,0,0,,,,INACTIVE
13,GB,A,GB 2403120 A,029-741-144-700-630,2004-12-29,2004,GB 0314718 A,2003-06-24,GB 0314718 A,2003-06-24,Connecting device for angling equipment,"A device comprising an elongate member 3 with a first connector 2 at one end and an accessory 4 having a second connector 1 detachably connected to the first, one of the connectors being adjustable to allow the connectors to lock together. Preferably, the first and second connectors are cylindrical and are movable into and out of engagement with one another by coaxial movement. Preferably, the adjustable connectors may include balls 31 that engage in hollows (11, fig.2a) in the other connector to act as latches to engage the connectors. The adjustable connector may also comprise a spring biased sleeve 25 slidably mounted around an inner body part to act as a locking member, which is biased towards the locking position.",SVENDSEN SPORTS,PALMER NICHOLAS JOHN,,https://lens.org/029-741-144-700-630,Patent Application,no,5,1,2,2,0,A01K77/00;;A01K97/10;;A01K97/12;;A01K97/14;;F16B7/0413;;F16B21/165;;F16B21/18,A01K77/00;;A01K97/14;;F16B7/04;;F16B21/16;;F16B21/18,A1A A38           A38;;E2A ACSJ          ACSJ,0,0,,,,PENDING
14,CN,A,CN 106689075 A,026-345-253-096-352,2017-05-24,2017,CN 201611205415 A,2016-12-23,CN 201611205415 A,2016-12-23,Fishhook with fishing net,"The invention provides a fishhook with a fishing net. The fishing net can be automatically closed up to trap hooked fish, so that unhooking is avoided. The fishhook structurally comprises a fishhook fixing rod and a fishhook body, a moving sleeve externally sleeves the fishhook fixing rod, the upper end of the moving sleeve is connected with the fishhook fixing rod through a spring, and the lower end of the moving sleeve is connected with the fishing net through a connection rope. A hollow spring rod is arranged in the fishhook fixing rod and radially fixed into the fishhook fixing rod, and a rod body of the fishhook fixing rod is provided with a positioning hole corresponding to a suspension end of the hollow spring rod. A moving clamping block is arranged at the positioning hole, the moving sleeve is provided with a clamping hole corresponding to the positioning hole, and the moving clamping block is connected with a positioning spring which sleeves the hollow positioning rod. A connection line is arranged on the inner side of the moving clamping block and penetrates into the hollow spring rod to get out from a rod body of the hollow spring rod so as to be connected with the fishhook body.",CHEN HONGCAN,CHEN HONGCAN,,https://lens.org/026-345-253-096-352,Patent Application,no,0,1,1,1,0,A01K83/00;;A01K77/00,A01K83/00;;A01K77/00,,0,0,,,,DISCONTINUED
15,US,A1,US 2012/0091174 A1,016-586-092-952-043,2012-04-19,2012,US 201113239556 A,2011-09-22,US 201113239556 A;;US 39276810 P,2010-10-13,Utility Hopper,"A device for holding a trash bag open while allowing a user to support and carry it with ease. The device comprises a rigid support frame and a plurality of clips that attach to, and hold open, a garbage bag. The support frame has a forearm support that extends from it, which the user secures to his or her forearm, along with a gripping handle that the user holds in his or her hand. The device keeps the bag open for easy trash placement thereinto. Alternatively, a netted, mesh bag can be used in place of the garbage bag to avoid waste associated with their disposal. The mesh bags can also serve as temporary storage space for items that will be later transferred to a larger storage receptacle. The device may also be attached to a user's belt with a clip for transport when not in use.",BREEZE LENNIE,BREEZE LENNIE,,https://lens.org/016-586-092-952-043,Patent Application,yes,12,10,1,1,0,A45F5/021;;A45F5/021;;A01K77/00;;A01K77/00;;A45C2003/002;;A45C2003/002;;A45F2005/008;;A45F2005/008;;B65F1/1415;;B65F1/1415;;B65F1/1468;;B65F1/1468,A45F5/00,224/222,0,0,,,,DISCONTINUED
16,US,B2,US 10015954 B2,018-274-002-269-727,2018-07-10,2018,US 201314376763 A,2013-02-06,AU 2012/900420 A;;AU 2013/000101 W,2012-02-06,Device for retrieving fish,"The present invention is directed to a device for retrieving a fish caught on a fishing line, the device including a receptacle for passing along the fishing line and then receiving the caught fish, and a retriever for retrieving the receptacle and the fish.",CALLINGHAM JOHN CHARLES,CALLINGHAM JOHN CHARLES,,https://lens.org/018-274-002-269-727,Granted Patent,yes,27,4,7,7,0,A01K87/007;;A01K87/007;;A01K74/00;;A01K74/00;;A01K77/00;;A01K77/00;;A01K97/00;;A01K97/00;;A01K97/14;;A01K97/14;;A01K99/00;;A01K99/00,A01K77/00;;A01K74/00;;A01K87/00;;A01K97/00;;A01K97/14;;A01K99/00,,2,0,,,Translation of JP 2006-25739.;;Translation of JP 2005-237262.,INACTIVE
17,DE,B,DE 1199539 B,035-636-728-053-927,1965-08-26,1965,DE V0026776 A,1964-09-14,DE V0026776 A,1964-09-14,"Entnahmeeinrichtung fuer Fische aus Behaeltern, insbesondere Sammel- und Vorkuehlbehaeltern auf Fischereifahrzeugen",,VOLKSWERFT STRALSUND VEB,LITZOW HEINZ;;ENDE RUDOLF;;WOBORSCHIL FRANZ;;HANKE WILLI;;POST GERHARD;;ROEMER LOTHAR;;DIESSNER HERBERT,,https://lens.org/035-636-728-053-927,Patent Application,no,0,2,1,1,0,A01K77/00;;B63B35/24,A01K77/00;;B63B35/24,,0,0,,,,DISCONTINUED
18,KR,B1,KR 100568585 B1,032-517-570-727-029,2006-04-11,2006,KR 20040031833 A,2004-05-06,KR 20040031833 A,2004-05-06,SIDE MIRROR SWITCH HAVING A MULTIPLE CIRCUIT BOARD,,,,,https://lens.org/032-517-570-727-029,Granted Patent,no,0,0,2,2,0,A01K77/00,B60R1/06,,0,0,,,,INACTIVE
19,KR,B1,KR 101184889 B1,034-318-691-357-037,2012-09-21,2012,KR 20120086564 A,2012-08-08,KR 20120086564 A,2012-08-08,SQUID AUTOMATIC JIGGING DEVICE,"PURPOSE: An automatic cuttlefish jigging device is provided to improve the yield of cuttlefish by detecting the depth of water and adjusting the winding operation of fishing gut according to the detected depth of the water. CONSTITUTION: An automatic cuttlefish jigging device includes a wheel supporting shaft with a hollow cross section, a driving motor installing bracket, a jigging wheel(12), a driven gear(17), a driving motor(32), a hinge support, and a roller support. The bracket includes a flat board on which the driving motor is loaded. The bracket penetrates through the wheel supporting shaft through a hollow pipe and is fixed by a fastening bolt. The jigging wheel is rotatably installed at the wheel supporting shaft and winds and unwinds fishing gut. The driven gear is inserted into the hollow pipe and rotates with the jigging wheel. The driving motor is fixed to the bracket and is engaged with the driven gear. The hinge support is fixed to both end parts of the wheel supporting shaft. The roller support is in connection with the hinge support and supports the fishing gut. When a fishing operation is stopped, the roller support is separated from the hinge support.",NO YONG SU,NO YONG SU,,https://lens.org/034-318-691-357-037,Granted Patent,no,0,3,1,1,0,A01K91/18;;A01K77/00,A01K77/00,,0,0,,,,ACTIVE
20,CN,A,CN 110574734 A,036-025-576-886-463,2019-12-17,2019,CN 201810581762 A,2018-06-07,CN 201810581762 A,2018-06-07,Efficient and practical fishing device,"Disclosed is a very efficient and practical fishing device which cannot disturb fishes. According to the technical scheme, a fishing rod, a fishing frame and a fishing net are designed to be transparent or partially transparent, the fishing device is made of a transparent material or the partial materials or partial portions of the fishing device are made of the transparent material, and in this way, the fishes cannot see the approach of the fishing device during fishing; a single or multiple visible but not obvious star marks can be made on certain positions of the fishing rod, the fishing frame and the fishing net to provide convenience for a fisherman to determine the specific position of the fishing device to facilitate accurate fishing, in this way, the fishes in an aquarium cannot bedisturbed to flee around and cause accidental casualties, and the fishing device for the fishes is very efficient and practical and cannot disturb the fishes.",ZHONG ZHIQIANG,ZHONG ZHIQIANG,,https://lens.org/036-025-576-886-463,Patent Application,no,0,0,1,1,0,A01K77/00,A01K77/00,,0,0,,,,DISCONTINUED
21,KR,Y1,KR 0131660 Y1,044-572-801-612-251,1998-12-01,1998,KR 19950013103 U,1995-06-07,KR 19950013103 U,1995-06-07,LANDING NET FOR FISHING,"본 고안은 낚시도구에 있어서 대어를 들어 올릴때 사용되는 낚시용 뜰채에 관한 것으로, 손잡이부가 있는 제1단의 선단을 소정깊이만큼 감합하는 제1소켓과, 상기 제1단에 연속하는 제2단의 선단을 소정깊이만큼 감합하는 제2소켓을 서로 대향되게 고착하여, 상기 제1소켓 내면의 복수개의 걸림턱과 제2소켓 외면의 걸림요홈이 서로 결착분리 가능하도록 함으로써, 뜰채의 길이를 줄이고자 할 경우에는 제1 및 제2소켓을 결합시키고, 반대로 최대의 길이로 뜰채를 사용하고자 할 경우에는 제1 및 제2소켓을 분리시킴에 의하여 필요에따라 뜰채의 길이를 조절할 수 있어 강낚시이든 바다낚시이든 구별없이 하나의 뜰채로도 용이하고 안전하게 낚시를 즐길 수 있는 뜰채를 제공한다.",YANG KYUNG JIK,YANG KYUNG-JIK,,https://lens.org/044-572-801-612-251,Unknown,no,0,1,2,2,0,A01K77/005,A01K77/00,,0,0,,,,EXPIRED
22,JP,A,JP 2022039963 A,052-127-180-370-687,2022-03-10,2022,JP 2021101419 A,2021-06-18,KR 20200109318 A,2020-08-28,FISHING VESSEL NET AUTOMATIC ARRANGEMENT DEVICE AND NET AUTOMATIC ARRANGEMENT SYSTEM INCLUDING THE SAME,"To provide a fishing vessel net automatic arrangement device and a net automatic arrangement system including the device, for arranging a hauled net so that the hauled net can be recast.SOLUTION: A fishing vessel net automatic arrangement device includes: both-side frames provided on the right and left sides; a guide arc that guides entrance of a net and net wires configured at both side ends of the net to stretch out a net mesh between the net wires; a roller that uses rotation force to pull the net having entered the guide arc; a compression wheel that applies pressure to the net having entered the roller in a direction of the roller; and a net separation prevention tool for inhibiting the net wires from moving to the sides of both-side frames. The guide arc includes: a fixation bar provided at both-side frames; a pair of guide tools isolated at one side and the other side of the fixation bar; and an aggregation passage part formed between the guide tools. Each guide tool tilts in an upper part direction from the fixation bar and has an upper part formed wider than a lower part thereof. At the lower part of the guide tool, a rope passage part through which a net wire is to pass is formed.SELECTED DRAWING: Figure 1",CHOI SANG SIK,CHOI SANG SIK,,https://lens.org/052-127-180-370-687,Patent Application,no,9,0,3,3,0,A01K77/00;;A01K73/06,A01K73/04,,0,0,,,,ACTIVE
23,KR,B1,KR 102275595 B1,048-665-774-014-499,2021-07-09,2021,KR 20190014747 A,2019-02-08,KR 20190014747 A,2019-02-08,HIGH WEAR RESISTANCE ROLLER AND METHOD OF MANUFACTURING THE SAME,"내마모성 롤러 및 그 제조 방법이 제시된다. 일 실시예에 따른 내마모성 롤러는, 롤러(roller); 및 마찰이 발생되는 상기 롤러의 표면의 적어도 일부에 버니싱(burnishing) 공구를 이용한 버니싱이 수행되어, 상기 버니싱이 수행되지 않은 상기 롤러의 표면보다 상기 버니싱이 수행된 상기 롤러의 표면의 강도 및 경도가 높은 표면처리부를 포함하여 이루어질 수 있다.",부산대학교 산학협력단,박상후,,https://lens.org/048-665-774-014-499,Granted Patent,no,0,0,2,2,0,A01K77/00;;A01K73/06;;C21D7/08;;B24B1/04;;B65H75/18,A01K77/00;;A01K73/06;;B24B1/04;;C21D7/08,,0,0,,,,ACTIVE
24,KR,U,KR 20110007669 U,050-914-130-822-331,2011-08-03,2011,KR 20100000916 U,2010-01-27,KR 20100000916 U,2010-01-27,fish capture net,"기존 족대의 망(1)과 이중 망(2)의 일정 간극이 유지 되도록 저부의 깊이가 다른 상하로 갈라진 홈(3)을 갖는 이중 망(2)을 형성(4)하여 들어오는 물고기의 유도를 돕고, 기존 족대의 망(1)에 도달된 물고기의 역행을 제어하여 기존 족대의 효과를 높이고 상하로 갈라진 홈(3a)을 통하여 이물질의 처리와 물고기의 회수를 용이하게 하는 것을 특징으로 하는 족대",김동배,김동배,,https://lens.org/050-914-130-822-331,Patent Application,no,0,5,1,1,0,A01K77/00;;A01K79/00,A01K79/00;;A01K77/00,,0,0,,,,DISCONTINUED
25,KR,A,KR 20190056028 A,050-136-184-997-606,2019-05-24,2019,KR 20170153013 A,2017-11-16,KR 20170153013 A,2017-11-16,The traverse cam structure hauling on net devices of apparatus shellfish for picking up,"The present invention relates to a net device traverse cam structure for dredge fishing gear. The present invention provides stability for workers by preventing a towing rope from being separated to left and right sides by a pair of vertical rollers included in a vertical roller rotary shaft installed on a roller hinge base installed by a fixing hinge pin and a separation hinge pin on a roller base installed in a traverse slider block reciprocating left and right along the line side of a net throwing and pulling drum under conditions in which the towing rope wound on or released from the net throwing and pulling drum is relaxed or tightened frequently or swings vertically and horizontally according to weather conditions of the ocean, working environments which tow a net throwing and pulling device in zigzag in order not to be interfered by obstacles, conditions, and working environments which change the net throwing and pulling device of the towing vessel into a relaxing mode, a winding mode, and a mooring mode frequently in a working process of the towing vessel after throwing a net of a dredge fishing gear during dredge. The present invention: greatly improves work efficiency with convenient attachment and detachment of a towing rope by a folding method of the roller hinge base due to the separation of the separation hinge pin and a convenient disassembly method of the vertical roller lock of a combination spanner shape with a roller locking nut when pulling the towing rope after the catch of fish; and greatly improves the durability of fishing gear or the durability of a net throwing and pulling device since friction on the towing rope is reduced by a horizontal roller installed on the upper end side of the roller hinge base when vertically rolling in the direction of water surface.",JI MOON GIL,JI MOON GIL,,https://lens.org/050-136-184-997-606,Patent Application,no,6,4,2,2,0,A01K77/00;;B65H75/4407;;B65H2403/30;;B65H2403/511;;B65H2403/72;;B66D1/14;;B66D1/60,A01K77/00;;B65H75/44;;B66D1/14;;B66D1/60,,0,0,,,,ACTIVE
26,GB,A,GB 2479764 A,051-108-078-700-758,2011-10-26,2011,GB 201006678 A,2010-04-21,GB 201006678 A,2010-04-21,Landing net,"A landing net or drop net comprising a stainless still frame covered in nylon netting. The net is wider at one end than the other. The net can be opened (fig 1) and clipped around the mainline of a fishing rod using hooks and eyes, with the largest opening facing down. The net is attached to a rope, lowered down over a rod caught fish and terminal tackle and subsequently pulled up to lift the fish out of the water. In doing so the net reverts to having the wider end facing upwards.",BELL KENNETH,BELL KENNETH,,https://lens.org/051-108-078-700-758,Patent Application,no,3,3,2,2,0,A01K77/00;;A01K77/00,A01K77/00,,0,0,,,,DISCONTINUED
27,KR,U,KR 970053120 U,043-551-701-688-380,1997-10-13,1997,KR 19970018189 U,1997-07-10,KR 19970018189 U,1997-07-10,양망기,"본 고안은 양망기에 관한 것으로서, 보다 상세하게는 양망작업시 작업인원 및 작업시간을 줄일 수 있으며, 어망 및 물고기의 손상을 방지할 수 있도록 한 양망기에 관한 것이다. 본 고안에 따르면 하우징(2)의 일측에 장착된 구동모터(6) 및 상기 구동모터(6)의 구동축이 접속된 변속기(4)와, 상기 하우징(2)의 내부에 구비되며 상기 변속기(4)의 출력축에 접속되어 구동되는 구동기구와, 하우징(2)의 외측에 삼각형형태로 장착되며 상기 구동기구에 의해 각각 회전되는 제1, 제2 및 제3회전축(18,20,22)과, 상기 제1, 제2 및 제3회전축(18,20,22)에 각각 장착되며 외주면에 축방향으로 소정의 간격으로 탄성패드(24)가 장착된 제1, 제2 및 제3권취롤(26,28,30)을 포함하며, 상기 구동기구는 상기 제1, 제3회전축(18,22)을 동일한 방향으로 회전시키고 상기 제2회전축(20)을 상기 제1, 제3회전축(18,22)과 반대 방향으로 회전시키도록 된 것을 특징으로 하는 양망기가 제공된다.",윤장현,윤장현,,https://lens.org/043-551-701-688-380,Patent Application,no,0,0,2,2,0,A01K73/06;;A01K77/00,A01K77/00,,0,0,,,,EXPIRED
28,US,B1,US 9439406 B1,044-776-904-946-996,2016-09-13,2016,US 201514600589 A,2015-01-20,US 201514600589 A,2015-01-20,Ice fishing trap,"An ice fishing trap including first and second securement struts, each having a plurality of securement chain receiving first holes. The device also includes an adjustable crossbar engaging at least an aligned pair of first and second apertures in the securement struts, a support bar on a bottom end of the securement struts, a removable trap conforming to a diameter of an ice fishing hole and having a barrier, and a trap retaining latch. The trap is secured in an open position by the engagement of the trap retaining latch. As a fish is reeled in through the hole, the fish disengages the trap retaining latch which releases the trap into a closed position at a bottom of the ice fishing hole. The barrier prevents the fish from escaping if the fish falls from a hook. The support bar prevents the trap from falling below the ice fishing hole.",KUNY JULIAN PAUL,KUNY JULIAN PAUL,,https://lens.org/044-776-904-946-996,Granted Patent,yes,41,3,1,1,0,A01K77/00;;A01K77/00;;A01K97/01;;A01K97/01;;A01K97/14;;A01K97/14,A01K97/01;;A01K77/00;;A01K97/14,,0,0,,,,ACTIVE
29,US,A,US 5822908 A,040-173-431-155-925,1998-10-20,1998,US 79693697 A,1997-02-07,US 79693697 A,1997-02-07,Fish netting device,"A fish netting device including a frame member with a handle. Included is a first net member that defines a pocket configuration, when interconnected to the frame member. A rider bracket is positioned within the frame and capable of sliding back and forth within the frame. A second net member has a first portion that is interconnected with the frame and a second portion interconnected with the rider bracket. Lastly, the handle has a guide slot and a channel. The channel has a means for moving the rider bracket back and forth. The means has a lever positioned within the guide slot for controlling the movement of the rider bracket.",BLANCHARD; ANTHONY P.,BLANCHARD ANTHONY P,,https://lens.org/040-173-431-155-925,Granted Patent,yes,11,40,1,1,0,A01K77/00;;A01K77/00,A01K77/00,43/11;;43/7,0,0,,,,EXPIRED
